Dependency ID,Predecessor Code,Successor Code,Type,Lag
"dep-civ-exca-0106-civ-exca-0122","CIV-EXCA-0106","CIV-EXCA-0122","FS",3
"dep-civ-exca-0106-civ-form-0133","CIV-EXCA-0106","CIV-FORM-0133","FS",1
"dep-civ-clea-0113-civ-conc-0118","CIV-CLEA-0113","CIV-CONC-0118","FS",0
"dep-civ-clea-0113-civ-exca-0122","CIV-CLEA-0113","CIV-EXCA-0122","FS",0
"dep-civ-clea-0113-civ-form-0133","CIV-CLEA-0113","CIV-FORM-0133","FS",1
"dep-civ-clea-0113-pip-flus-0016","CIV-CLEA-0113","PIP-FLUS-0016","FS",0
"dep-civ-conc-0118-civ-exca-0122","CIV-CONC-0118","CIV-EXCA-0122","FS",0
"dep-civ-conc-0118-civ-form-0133","CIV-CONC-0118","CIV-FORM-0133","FS",0
"dep-civ-conc-0118-pip-flus-0016","CIV-CONC-0118","PIP-FLUS-0016","FS",2
"dep-civ-conc-0118-pip-flus-0024","CIV-CONC-0118","PIP-FLUS-0024","FS",0
"dep-civ-exca-0122-civ-form-0133","CIV-EXCA-0122","CIV-FORM-0133","FS",1
"dep-civ-exca-0122-pip-flus-0016","CIV-EXCA-0122","PIP-FLUS-0016","FS",0
"dep-civ-exca-0122-pip-flus-0024","CIV-EXCA-0122","PIP-FLUS-0024","FS",0
"dep-civ-exca-0122-pip-weld-0037","CIV-EXCA-0122","PIP-WELD-0037","FS",0
"dep-civ-form-0133-pip-flus-0016","CIV-FORM-0133","PIP-FLUS-0016","FS",0
"dep-civ-form-0133-pip-flus-0024","CIV-FORM-0133","PIP-FLUS-0024","FF",0
"dep-civ-form-0133-pip-weld-0037","CIV-FORM-0133","PIP-WELD-0037","FS",0
"dep-civ-form-0133-pip-hydr-0047","CIV-FORM-0133","PIP-HYDR-0047","FS",0
"dep-pip-flus-0016-pip-flus-0024","PIP-FLUS-0016","PIP-FLUS-0024","SS",3
"dep-pip-flus-0016-pip-weld-0037","PIP-FLUS-0016","PIP-WELD-0037","FS",0
"dep-pip-flus-0016-pip-hydr-0047","PIP-FLUS-0016","PIP-HYDR-0047","SS",2
"dep-pip-flus-0016-pip-flus-0048","PIP-FLUS-0016","PIP-FLUS-0048","FS",0
"dep-pip-flus-0024-pip-weld-0037","PIP-FLUS-0024","PIP-WELD-0037","FS",2
"dep-pip-flus-0024-pip-hydr-0047","PIP-FLUS-0024","PIP-HYDR-0047","FS",0
"dep-pip-flus-0024-pip-flus-0048","PIP-FLUS-0024","PIP-FLUS-0048","FS",0
"dep-pip-weld-0037-pip-hydr-0047","PIP-WELD-0037","PIP-HYDR-0047","SS",1
"dep-pip-weld-0037-pip-flus-0048","PIP-WELD-0037","PIP-FLUS-0048","SS",2
"dep-pip-hydr-0047-pip-flus-0048","PIP-HYDR-0047","PIP-FLUS-0048","FS",0
"dep-civ-pcc-0003-civ-back-0015","CIV-PCC-0003","CIV-BACK-0015","FF",2
"dep-civ-pcc-0003-civ-grou-0016","CIV-PCC-0003","CIV-GROU-0016","FF",0
"dep-civ-pcc-0003-civ-grou-0056","CIV-PCC-0003","CIV-GROU-0056","SS",5
"dep-civ-pcc-0003-civ-pcc-0059","CIV-PCC-0003","CIV-PCC-0059","FS",0
"dep-civ-back-0015-civ-grou-0016","CIV-BACK-0015","CIV-GROU-0016","FS",0
"dep-civ-back-0015-civ-grou-0056","CIV-BACK-0015","CIV-GROU-0056","FS",0
"dep-civ-back-0015-civ-pcc-0059","CIV-BACK-0015","CIV-PCC-0059","FS",3
"dep-civ-back-0015-civ-exca-0058","CIV-BACK-0015","CIV-EXCA-0058","SF",0
"dep-civ-grou-0016-civ-grou-0056","CIV-GROU-0016","CIV-GROU-0056","FS",0
"dep-civ-grou-0016-civ-pcc-0059","CIV-GROU-0016","CIV-PCC-0059","FS",0
"dep-civ-grou-0016-civ-exca-0058","CIV-GROU-0016","CIV-EXCA-0058","FS",2
"dep-civ-grou-0016-civ-conc-0062","CIV-GROU-0016","CIV-CONC-0062","FS",0
"dep-civ-grou-0056-civ-pcc-0059","CIV-GROU-0056","CIV-PCC-0059","FS",1
"dep-civ-grou-0056-civ-exca-0058","CIV-GROU-0056","CIV-EXCA-0058","FS",2
"dep-civ-grou-0056-civ-conc-0062","CIV-GROU-0056","CIV-CONC-0062","FS",2
"dep-civ-grou-0056-civ-grou-0080","CIV-GROU-0056","CIV-GROU-0080","FS",3
"dep-civ-pcc-0059-civ-exca-0058","CIV-PCC-0059","CIV-EXCA-0058","FS",0
"dep-civ-pcc-0059-civ-conc-0062","CIV-PCC-0059","CIV-CONC-0062","FS",0
"dep-civ-pcc-0059-civ-grou-0080","CIV-PCC-0059","CIV-GROU-0080","FS",0
"dep-civ-pcc-0059-civ-form-0085","CIV-PCC-0059","CIV-FORM-0085","FS",0
"dep-civ-exca-0058-civ-conc-0062","CIV-EXCA-0058","CIV-CONC-0062","FS",0
"dep-civ-exca-0058-civ-grou-0080","CIV-EXCA-0058","CIV-GROU-0080","FS",0
"dep-civ-exca-0058-civ-form-0085","CIV-EXCA-0058","CIV-FORM-0085","FS",2
"dep-civ-exca-0058-civ-pcc-0091","CIV-EXCA-0058","CIV-PCC-0091","FF",0
"dep-civ-conc-0062-civ-grou-0080","CIV-CONC-0062","CIV-GROU-0080","FS",0
"dep-civ-conc-0062-civ-form-0085","CIV-CONC-0062","CIV-FORM-0085","FS",0
"dep-civ-conc-0062-civ-pcc-0091","CIV-CONC-0062","CIV-PCC-0091","FS",0
"dep-civ-conc-0062-civ-conc-0094","CIV-CONC-0062","CIV-CONC-0094","FS",0
"dep-civ-grou-0080-civ-form-0085","CIV-GROU-0080","CIV-FORM-0085","FS",3
"dep-civ-grou-0080-civ-pcc-0091","CIV-GROU-0080","CIV-PCC-0091","FS",3
"dep-civ-grou-0080-civ-conc-0094","CIV-GROU-0080","CIV-CONC-0094","SF",0
"dep-civ-grou-0080-civ-grou-0104","CIV-GROU-0080","CIV-GROU-0104","FS",0
"dep-civ-form-0085-civ-pcc-0091","CIV-FORM-0085","CIV-PCC-0091","FS",0
"dep-civ-form-0085-civ-conc-0094","CIV-FORM-0085","CIV-CONC-0094","FS",0
"dep-civ-form-0085-civ-grou-0104","CIV-FORM-0085","CIV-GROU-0104","FS",0
"dep-civ-form-0085-civ-grou-0120","CIV-FORM-0085","CIV-GROU-0120","FS",0
"dep-civ-pcc-0091-civ-conc-0094","CIV-PCC-0091","CIV-CONC-0094","FS",3
"dep-civ-pcc-0091-civ-grou-0104","CIV-PCC-0091","CIV-GROU-0104","FS",0
"dep-civ-pcc-0091-civ-grou-0120","CIV-PCC-0091","CIV-GROU-0120","FS",0
"dep-civ-pcc-0091-civ-pcc-0123","CIV-PCC-0091","CIV-PCC-0123","SS",3
"dep-civ-conc-0094-civ-grou-0104","CIV-CONC-0094","CIV-GROU-0104","FS",2
"dep-civ-conc-0094-civ-grou-0120","CIV-CONC-0094","CIV-GROU-0120","SS",2
"dep-civ-conc-0094-civ-pcc-0123","CIV-CONC-0094","CIV-PCC-0123","FS",0
"dep-civ-conc-0094-civ-back-0135","CIV-CONC-0094","CIV-BACK-0135","FS",1
"dep-civ-grou-0104-civ-grou-0120","CIV-GROU-0104","CIV-GROU-0120","FS",1
"dep-civ-grou-0104-civ-pcc-0123","CIV-GROU-0104","CIV-PCC-0123","FS",0
"dep-civ-grou-0104-civ-back-0135","CIV-GROU-0104","CIV-BACK-0135","FS",3
"dep-civ-grou-0104-pip-insu-0025","CIV-GROU-0104","PIP-INSU-0025","FS",0
"dep-civ-grou-0120-civ-pcc-0123","CIV-GROU-0120","CIV-PCC-0123","FS",0
"dep-civ-grou-0120-civ-back-0135","CIV-GROU-0120","CIV-BACK-0135","FS",0
"dep-civ-grou-0120-pip-insu-0025","CIV-GROU-0120","PIP-INSU-0025","FS",0
"dep-civ-grou-0120-pip-fitu-0028","CIV-GROU-0120","PIP-FITU-0028","FS",3
"dep-civ-pcc-0123-civ-back-0135","CIV-PCC-0123","CIV-BACK-0135","FS",0
"dep-civ-pcc-0123-pip-insu-0025","CIV-PCC-0123","PIP-INSU-0025","FS",0
"dep-civ-pcc-0123-pip-fitu-0028","CIV-PCC-0123","PIP-FITU-0028","FS",2
"dep-civ-pcc-0123-pip-insu-0033","CIV-PCC-0123","PIP-INSU-0033","FS",0
"dep-civ-back-0135-pip-insu-0025","CIV-BACK-0135","PIP-INSU-0025","FS",0
"dep-civ-back-0135-pip-fitu-0028","CIV-BACK-0135","PIP-FITU-0028","FS",0
"dep-civ-back-0135-pip-insu-0033","CIV-BACK-0135","PIP-INSU-0033","FS",0
"dep-civ-back-0135-pip-fabr-0034","CIV-BACK-0135","PIP-FABR-0034","FS",3
"dep-pip-insu-0025-pip-fitu-0028","PIP-INSU-0025","PIP-FITU-0028","SS",1
"dep-pip-insu-0025-pip-insu-0033","PIP-INSU-0025","PIP-INSU-0033","FS",0
"dep-pip-insu-0025-pip-fabr-0034","PIP-INSU-0025","PIP-FABR-0034","FS",0
"dep-pip-insu-0025-pip-flus-0056","PIP-INSU-0025","PIP-FLUS-0056","FS",0
"dep-pip-fitu-0028-pip-insu-0033","PIP-FITU-0028","PIP-INSU-0033","FS",0
"dep-pip-fitu-0028-pip-fabr-0034","PIP-FITU-0028","PIP-FABR-0034","SS",2
"dep-pip-fitu-0028-pip-flus-0056","PIP-FITU-0028","PIP-FLUS-0056","FS",0
"dep-pip-fitu-0028-pip-insu-0065","PIP-FITU-0028","PIP-INSU-0065","FS",3
"dep-pip-insu-0033-pip-fabr-0034","PIP-INSU-0033","PIP-FABR-0034","FS",0
"dep-pip-insu-0033-pip-flus-0056","PIP-INSU-0033","PIP-FLUS-0056","FS",0
"dep-pip-insu-0033-pip-insu-0065","PIP-INSU-0033","PIP-INSU-0065","FS",0
"dep-pip-fabr-0034-pip-flus-0056","PIP-FABR-0034","PIP-FLUS-0056","FS",0
"dep-pip-fabr-0034-pip-insu-0065","PIP-FABR-0034","PIP-INSU-0065","FS",0
"dep-pip-flus-0056-pip-insu-0065","PIP-FLUS-0056","PIP-INSU-0065","FS",0
"dep-civ-rein-0004-civ-conc-0006","CIV-REIN-0004","CIV-CONC-0006","FS",2
"dep-civ-rein-0004-civ-form-0005","CIV-REIN-0004","CIV-FORM-0005","SS",3
"dep-civ-rein-0004-civ-grou-0008","CIV-REIN-0004","CIV-GROU-0008","FS",0
"dep-civ-rein-0004-civ-conc-0014","CIV-REIN-0004","CIV-CONC-0014","FS",0
"dep-civ-conc-0006-civ-form-0005","CIV-CONC-0006","CIV-FORM-0005","FS",0
"dep-civ-conc-0006-civ-grou-0008","CIV-CONC-0006","CIV-GROU-0008","FS",0
"dep-civ-conc-0006-civ-conc-0014","CIV-CONC-0006","CIV-CONC-0014","FS",0
"dep-civ-conc-0006-civ-rein-0028","CIV-CONC-0006","CIV-REIN-0028","FS",3
"dep-civ-form-0005-civ-grou-0008","CIV-FORM-0005","CIV-GROU-0008","FS",0
"dep-civ-form-0005-civ-conc-0014","CIV-FORM-0005","CIV-CONC-0014","FS",2
"dep-civ-form-0005-civ-rein-0028","CIV-FORM-0005","CIV-REIN-0028","FS",0
"dep-civ-form-0005-civ-form-0037","CIV-FORM-0005","CIV-FORM-0037","SF",0
"dep-civ-grou-0008-civ-conc-0014","CIV-GROU-0008","CIV-CONC-0014","FS",0
"dep-civ-grou-0008-civ-rein-0028","CIV-GROU-0008","CIV-REIN-0028","FS",0
"dep-civ-grou-0008-civ-form-0037","CIV-GROU-0008","CIV-FORM-0037","FS",0
"dep-civ-grou-0008-civ-rein-0036","CIV-GROU-0008","CIV-REIN-0036","FS",0
"dep-civ-conc-0014-civ-rein-0028","CIV-CONC-0014","CIV-REIN-0028","FS",1
"dep-civ-conc-0014-civ-form-0037","CIV-CONC-0014","CIV-FORM-0037","FS",0
"dep-civ-conc-0014-civ-rein-0036","CIV-CONC-0014","CIV-REIN-0036","SS",2
"dep-civ-conc-0014-civ-conc-0038","CIV-CONC-0014","CIV-CONC-0038","FS",3
"dep-civ-rein-0028-civ-form-0037","CIV-REIN-0028","CIV-FORM-0037","FS",0
"dep-civ-rein-0028-civ-rein-0036","CIV-REIN-0028","CIV-REIN-0036","FF",1
"dep-civ-rein-0028-civ-conc-0038","CIV-REIN-0028","CIV-CONC-0038","SS",5
"dep-civ-rein-0028-civ-conc-0054","CIV-REIN-0028","CIV-CONC-0054","FS",3
"dep-civ-form-0037-civ-rein-0036","CIV-FORM-0037","CIV-REIN-0036","FS",0
"dep-civ-form-0037-civ-conc-0038","CIV-FORM-0037","CIV-CONC-0038","FS",0
"dep-civ-form-0037-civ-conc-0054","CIV-FORM-0037","CIV-CONC-0054","FS",0
"dep-civ-form-0037-civ-form-0069","CIV-FORM-0037","CIV-FORM-0069","FS",3
"dep-civ-rein-0036-civ-conc-0038","CIV-REIN-0036","CIV-CONC-0038","SS",4
"dep-civ-rein-0036-civ-conc-0054","CIV-REIN-0036","CIV-CONC-0054","FS",0
"dep-civ-rein-0036-civ-form-0069","CIV-REIN-0036","CIV-FORM-0069","FS",0
"dep-civ-rein-0036-civ-clea-0073","CIV-REIN-0036","CIV-CLEA-0073","FS",1
"dep-civ-conc-0038-civ-conc-0054","CIV-CONC-0038","CIV-CONC-0054","FS",0
"dep-civ-conc-0038-civ-form-0069","CIV-CONC-0038","CIV-FORM-0069","FS",0
"dep-civ-conc-0038-civ-clea-0073","CIV-CONC-0038","CIV-CLEA-0073","FS",0
"dep-civ-conc-0038-civ-exca-0082","CIV-CONC-0038","CIV-EXCA-0082","FS",0
"dep-civ-conc-0054-civ-form-0069","CIV-CONC-0054","CIV-FORM-0069","FS",0
"dep-civ-conc-0054-civ-clea-0073","CIV-CONC-0054","CIV-CLEA-0073","SS",5
"dep-civ-conc-0054-civ-exca-0082","CIV-CONC-0054","CIV-EXCA-0082","FS",0
"dep-civ-conc-0054-civ-form-0109","CIV-CONC-0054","CIV-FORM-0109","FF",3
"dep-civ-form-0069-civ-clea-0073","CIV-FORM-0069","CIV-CLEA-0073","FS",0
"dep-civ-form-0069-civ-exca-0082","CIV-FORM-0069","CIV-EXCA-0082","FS",0
"dep-civ-form-0069-civ-form-0109","CIV-FORM-0069","CIV-FORM-0109","FS",0
"dep-civ-form-0069-civ-pcc-0107","CIV-FORM-0069","CIV-PCC-0107","FS",0
"dep-civ-clea-0073-civ-exca-0082","CIV-CLEA-0073","CIV-EXCA-0082","FS",0
"dep-civ-clea-0073-civ-form-0109","CIV-CLEA-0073","CIV-FORM-0109","FS",1
"dep-civ-clea-0073-civ-pcc-0107","CIV-CLEA-0073","CIV-PCC-0107","FS",3
"dep-civ-clea-0073-pip-ndt-0046","CIV-CLEA-0073","PIP-NDT-0046","FS",0
"dep-civ-exca-0082-civ-form-0109","CIV-EXCA-0082","CIV-FORM-0109","FS",3
"dep-civ-exca-0082-civ-pcc-0107","CIV-EXCA-0082","CIV-PCC-0107","FS",1
"dep-civ-exca-0082-pip-ndt-0046","CIV-EXCA-0082","PIP-NDT-0046","FS",0
"dep-civ-exca-0082-pip-fitu-0052","CIV-EXCA-0082","PIP-FITU-0052","SF",0
"dep-civ-form-0109-civ-pcc-0107","CIV-FORM-0109","CIV-PCC-0107","FS",0
"dep-civ-form-0109-pip-ndt-0046","CIV-FORM-0109","PIP-NDT-0046","FS",3
"dep-civ-form-0109-pip-fitu-0052","CIV-FORM-0109","PIP-FITU-0052","FS",1
"dep-civ-form-0109-pip-fabr-0058","CIV-FORM-0109","PIP-FABR-0058","FS",0
"dep-civ-pcc-0107-pip-ndt-0046","CIV-PCC-0107","PIP-NDT-0046","FS",0
"dep-civ-pcc-0107-pip-fitu-0052","CIV-PCC-0107","PIP-FITU-0052","FS",0
"dep-civ-pcc-0107-pip-fabr-0058","CIV-PCC-0107","PIP-FABR-0058","FS",0
"dep-civ-pcc-0107-pip-fitu-0060","CIV-PCC-0107","PIP-FITU-0060","SS",2
"dep-pip-ndt-0046-pip-fitu-0052","PIP-NDT-0046","PIP-FITU-0052","FS",1
"dep-pip-ndt-0046-pip-fabr-0058","PIP-NDT-0046","PIP-FABR-0058","FS",0
"dep-pip-ndt-0046-pip-fitu-0060","PIP-NDT-0046","PIP-FITU-0060","SF",0
"dep-pip-ndt-0046-pip-erec-0059","PIP-NDT-0046","PIP-EREC-0059","FS",0
"dep-pip-fitu-0052-pip-fabr-0058","PIP-FITU-0052","PIP-FABR-0058","SS",4
"dep-pip-fitu-0052-pip-fitu-0060","PIP-FITU-0052","PIP-FITU-0060","FS",0
"dep-pip-fitu-0052-pip-erec-0059","PIP-FITU-0052","PIP-EREC-0059","SS",1
"dep-pip-fitu-0052-pip-weld-0061","PIP-FITU-0052","PIP-WELD-0061","FS",0
"dep-pip-fabr-0058-pip-fitu-0060","PIP-FABR-0058","PIP-FITU-0060","FS",0
"dep-pip-fabr-0058-pip-erec-0059","PIP-FABR-0058","PIP-EREC-0059","SS",5
"dep-pip-fabr-0058-pip-weld-0061","PIP-FABR-0058","PIP-WELD-0061","FS",0
"dep-pip-fitu-0060-pip-erec-0059","PIP-FITU-0060","PIP-EREC-0059","FS",0
"dep-pip-fitu-0060-pip-weld-0061","PIP-FITU-0060","PIP-WELD-0061","FS",3
"dep-pip-erec-0059-pip-weld-0061","PIP-EREC-0059","PIP-WELD-0061","FS",3
"dep-civ-back-0007-civ-back-0023","CIV-BACK-0007","CIV-BACK-0023","FS",0
"dep-civ-back-0007-civ-grou-0024","CIV-BACK-0007","CIV-GROU-0024","SS",4
"dep-civ-back-0007-civ-form-0045","CIV-BACK-0007","CIV-FORM-0045","FS",0
"dep-civ-back-0007-civ-pcc-0051","CIV-BACK-0007","CIV-PCC-0051","SS",3
"dep-civ-back-0023-civ-grou-0024","CIV-BACK-0023","CIV-GROU-0024","FS",0
"dep-civ-back-0023-civ-form-0045","CIV-BACK-0023","CIV-FORM-0045","FS",2
"dep-civ-back-0023-civ-pcc-0051","CIV-BACK-0023","CIV-PCC-0051","FS",0
"dep-civ-back-0023-civ-rein-0060","CIV-BACK-0023","CIV-REIN-0060","FS",3
"dep-civ-grou-0024-civ-form-0045","CIV-GROU-0024","CIV-FORM-0045","FS",3
"dep-civ-grou-0024-civ-pcc-0051","CIV-GROU-0024","CIV-PCC-0051","FS",0
"dep-civ-grou-0024-civ-rein-0060","CIV-GROU-0024","CIV-REIN-0060","FS",0
"dep-civ-grou-0024-civ-exca-0074","CIV-GROU-0024","CIV-EXCA-0074","FS",2
"dep-civ-form-0045-civ-pcc-0051","CIV-FORM-0045","CIV-PCC-0051","FF",3
"dep-civ-form-0045-civ-rein-0060","CIV-FORM-0045","CIV-REIN-0060","FS",0
"dep-civ-form-0045-civ-exca-0074","CIV-FORM-0045","CIV-EXCA-0074","FS",0
"dep-civ-form-0045-civ-form-0077","CIV-FORM-0045","CIV-FORM-0077","FS",1
"dep-civ-pcc-0051-civ-rein-0060","CIV-PCC-0051","CIV-REIN-0060","FS",0
"dep-civ-pcc-0051-civ-exca-0074","CIV-PCC-0051","CIV-EXCA-0074","FF",0
"dep-civ-pcc-0051-civ-form-0077","CIV-PCC-0051","CIV-FORM-0077","FS",1
"dep-civ-pcc-0051-civ-conc-0078","CIV-PCC-0051","CIV-CONC-0078","FS",2
"dep-civ-rein-0060-civ-exca-0074","CIV-REIN-0060","CIV-EXCA-0074","FS",0
"dep-civ-rein-0060-civ-form-0077","CIV-REIN-0060","CIV-FORM-0077","FS",0
"dep-civ-rein-0060-civ-conc-0078","CIV-REIN-0060","CIV-CONC-0078","SF",0
"dep-civ-rein-0060-civ-exca-0090","CIV-REIN-0060","CIV-EXCA-0090","SF",0
"dep-civ-exca-0074-civ-form-0077","CIV-EXCA-0074","CIV-FORM-0077","FS",0
"dep-civ-exca-0074-civ-conc-0078","CIV-EXCA-0074","CIV-CONC-0078","FS",0
"dep-civ-exca-0074-civ-exca-0090","CIV-EXCA-0074","CIV-EXCA-0090","FS",0
"dep-civ-exca-0074-civ-conc-0110","CIV-EXCA-0074","CIV-CONC-0110","FS",0
"dep-civ-form-0077-civ-conc-0078","CIV-FORM-0077","CIV-CONC-0078","FS",0
"dep-civ-form-0077-civ-exca-0090","CIV-FORM-0077","CIV-EXCA-0090","FS",0
"dep-civ-form-0077-civ-conc-0110","CIV-FORM-0077","CIV-CONC-0110","SF",0
"dep-civ-form-0077-civ-back-0127","CIV-FORM-0077","CIV-BACK-0127","FS",0
"dep-civ-conc-0078-civ-exca-0090","CIV-CONC-0078","CIV-EXCA-0090","FS",1
"dep-civ-conc-0078-civ-conc-0110","CIV-CONC-0078","CIV-CONC-0110","FS",3
"dep-civ-conc-0078-civ-back-0127","CIV-CONC-0078","CIV-BACK-0127","FS",0
"dep-civ-conc-0078-civ-exca-0130","CIV-CONC-0078","CIV-EXCA-0130","FS",0
"dep-civ-exca-0090-civ-conc-0110","CIV-EXCA-0090","CIV-CONC-0110","FS",2
"dep-civ-exca-0090-civ-back-0127","CIV-EXCA-0090","CIV-BACK-0127","FS",0
"dep-civ-exca-0090-civ-exca-0130","CIV-EXCA-0090","CIV-EXCA-0130","FS",2
"dep-civ-exca-0090-civ-rein-0132","CIV-EXCA-0090","CIV-REIN-0132","FS",0
"dep-civ-conc-0110-civ-back-0127","CIV-CONC-0110","CIV-BACK-0127","FS",0
"dep-civ-conc-0110-civ-exca-0130","CIV-CONC-0110","CIV-EXCA-0130","FS",0
"dep-civ-conc-0110-civ-rein-0132","CIV-CONC-0110","CIV-REIN-0132","SF",0
"dep-civ-conc-0110-pip-fabr-0010","CIV-CONC-0110","PIP-FABR-0010","FS",0
"dep-civ-back-0127-civ-exca-0130","CIV-BACK-0127","CIV-EXCA-0130","FS",0
"dep-civ-back-0127-civ-rein-0132","CIV-BACK-0127","CIV-REIN-0132","FS",0
"dep-civ-back-0127-pip-fabr-0010","CIV-BACK-0127","PIP-FABR-0010","FS",3
"dep-civ-back-0127-pip-weld-0021","CIV-BACK-0127","PIP-WELD-0021","FS",0
